"post_id";"created_at";"updated_at";"score";"view_count";"title";"user_id"
107;"2013-11-14 00:00:00";"2023-11-05 10:16:23";1.0;2081;"How to count of number of rows in Criteria Api";7
108;"2013-11-14 00:00:00";"2023-11-05 10:16:23";0.0;527;"Select next record on datasheet subform from separate form?";65
109;"2013-11-14 00:00:00";"2023-11-05 10:16:24";0.0;587;"CakePHP. Multiple Forms per page";16
110;"2013-11-14 00:00:00";"2023-11-05 10:16:24";0.0;49;"Slow updates using LIKE on where";11
111;"2013-11-14 00:00:00";"2023-11-05 10:16:24";0.0;1151;"How can I make the background of elements of my blog transparent in Blogger?";31
112;"2013-11-14 00:00:00";"2023-11-05 10:16:24";0.0;53;"regexp replace between some slashes";3
113;"2013-11-14 00:00:00";"2023-11-05 10:16:25";6.0;570;"Lazily partition sequence with LINQ";27
114;"2013-11-14 00:00:00";"2023-11-05 10:16:25";1.0;424;"OSX Serial read freeze / hang";64
115;"2013-11-14 00:00:00";"2023-11-05 10:16:25";0.0;415;"django south - stale user model when using AbstractUser";4
116;"2013-11-14 00:00:00";"2023-11-05 10:16:25";0.0;106;"New build options for web ui on Dart 1.0";31
117;"2013-11-14 00:00:00";"2023-11-05 10:16:25";-6.0;92;"Using string.replace()";34
118;"2013-11-14 00:00:00";"2023-11-05 10:16:26";0.0;392;"Mathematica doesn""t work with big numbers""";44
119;"2013-11-14 00:00:00";"2023-11-05 10:16:26";0.0;1353;"How to highlight a button in XAML using Triggers?";55
120;"2013-11-14 00:00:00";"2023-11-05 10:16:26";0.0;60;"Why are some of my link titles are being placed outside of my <a> tags?";10
121;"2013-11-14 00:00:00";"2023-11-05 10:16:26";0.0;1144;"Easy GUI way to add data to a Solr index";37
122;"2013-11-14 00:00:00";"2023-11-05 10:16:26";1.0;187;"generate different exceptions from soap in c#";29
123;"2013-11-14 00:00:00";"2023-11-05 10:16:27";0.0;36;"C++ SunOS ofstream error";42
124;"2013-11-14 00:00:00";"2023-11-05 10:16:27";-3.0;694;"Inserting a variable into a list c#";6
125;"2013-11-14 00:00:00";"2023-11-05 10:16:27";1.0;78;"Switching indexOf to inArray";43
126;"2013-11-14 00:00:00";"2023-11-05 10:16:27";0.0;253;"can""t list taxonomies in meta box""";68
127;"2013-11-14 00:00:00";"2023-11-05 10:16:27";0.0;109;"Dynamic Column Headings in SELECT statement";6
128;"2013-11-14 00:00:00";"2023-11-05 10:16:28";-1.0;138;"Checking a number in String Variable";60
129;"2013-11-14 00:00:00";"2023-11-05 10:16:28";1.0;4640;"Build image location in Crystal Report from report location";32
130;"2013-11-14 00:00:00";"2023-11-05 10:16:28";1.0;93;"Accessing data in a set";68
131;"2013-11-14 00:00:00";"2023-11-05 10:16:28";0.0;752;"Building wxWidgets 3.0.0 with nmake - directories created in wrong places";25
132;"2013-11-14 00:00:00";"2023-11-05 10:16:28";0.0;271;"Populate bar graph from array with core plot";70
133;"2019-09-17 00:00:00";"2023-11-05 10:16:29";1.0;46;"pass variable of javascript to php to the current page";51
134;"2019-09-17 00:00:00";"2023-11-05 10:16:29";2.0;577;"Percentage difference between values in dictionary";56
135;"2019-09-17 00:00:00";"2023-11-05 10:16:29";0.0;61;"Snapping in HorizontalScrollView inside Fragment";58
136;"2019-09-17 00:00:00";"2023-11-05 10:16:29";1.0;3690;"How to implement an alert dialog in androidX";71
137;"2019-09-17 00:00:00";"2023-11-05 10:16:30";0.0;337;"How to set size for each element in Row as the smallest element? (reverse IntrinsicWidth or IntrinsicHeight)";37
138;"2019-09-17 00:00:00";"2023-11-05 10:16:30";0.0;872;"CSV.writer each set entry on a new line";1
139;"2019-09-17 00:00:00";"2023-11-05 10:16:30";2.0;102;"Solr Facet , how exclude only main query?";4
140;"2019-09-17 00:00:00";"2023-11-05 10:16:30";0.0;322;"Get data from socket connection without sending it again";29
141;"2019-09-17 00:00:00";"2023-11-05 10:16:30";0.0;662;"setting up a development environment for Linux device driver";18
142;"2019-09-17 00:00:00";"2023-11-05 10:16:31";2.0;1746;"AWS SQS BackUp Solution Design";38
143;"2019-09-17 00:00:00";"2023-11-05 10:16:31";0.0;479;"Creating list of cards of same height with flexbox";26
144;"2019-09-17 00:00:00";"2023-11-05 10:16:31";0.0;171;"Stale Element Exception, Element not Clickable,Element Click Intercepted & No Such Element error displayed Alternately by same element";31
145;"2019-09-17 00:00:00";"2023-11-05 10:16:31";0.0;107;"How do I download the HTML code of the url with the images NOT being hidden";31
146;"2019-09-17 00:00:00";"2023-11-05 10:16:32";7.0;2150;"CPU acceleration status: This user doesn""t have permissions to use KVM (/dev/kvm) in docker""";67
147;"2019-09-17 00:00:00";"2023-11-05 10:16:32";1.0;469;"Laravel - How to load a hasone relation on a hasmany relation";35
148;"2019-09-17 00:00:00";"2023-11-05 10:16:32";1.0;1480;"Can I use HQL with JPA""s @Query annotation?""";58
149;"2019-09-17 00:00:00";"2023-11-05 10:16:32";1.0;1521;"Kendo DropDownList with Nested Object as TextField";72
150;"2019-09-17 00:00:00";"2023-11-05 10:16:32";0.0;78;"How to change colors of Pie Chart slices in MVC(Razor HTML)?";65
151;"2019-09-17 00:00:00";"2023-11-05 10:16:32";1.0;359;"Cassandra Best Practice for Deleting Large Amounts of Rows";54
152;"2019-09-17 00:00:00";"2023-11-05 10:16:33";0.0;536;"Conflicting versions of celery and kombu while installing airflow";13
153;"2019-09-17 00:00:00";"2023-11-05 10:16:33";-1.0;498;"VBA IF SUM Function";55
154;"2019-09-17 00:00:00";"2023-11-05 10:16:33";0.0;184;"How to obtain onComplete with Room Flowable<List<Item>>?";73
155;"2019-09-17 00:00:00";"2023-11-05 10:16:34";1.0;247;"Android Instant App StartActivityForResult";54
156;"2019-09-17 00:00:00";"2023-11-05 10:16:34";1.0;97;"Alternating Cycle (T)op/(B)ottom Sequence";59
157;"2019-09-17 00:00:00";"2023-11-05 10:16:34";1.0;109;"Have Gravity Form inputs show on different modals";23
158;"2019-09-17 00:00:00";"2023-11-05 10:16:34";0.0;142;"Python snippet to manage regex replacement index map?";4
159;"2019-09-17 00:00:00";"2023-11-05 10:16:35";0.0;552;"Cassandra count query throwing ReadFailureException";24
160;"2019-09-17 00:00:00";"2023-11-05 10:16:35";0.0;26;"Need to iterate through array to capture all rows - currently only saving the number in the [0] or first record";51
161;"2019-09-17 00:00:00";"2023-11-05 10:16:35";0.0;1015;"How to share excel workbook with python?";7
162;"2019-09-17 00:00:00";"2023-11-05 10:16:35";0.0;262;"Sitemesh3 Decorator only works with JSP extension";73
163;"2019-09-17 00:00:00";"2023-11-05 10:16:36";0.0;60;"How to do custom settings in s3 to show folder to some users";8
164;"2019-09-17 00:00:00";"2023-11-05 10:16:36";0.0;146;"How to run command line in c";39
165;"2019-09-17 00:00:00";"2023-11-05 10:16:36";1.0;311;"Replace XML-element with LINQ to XML";8
166;"2019-09-17 00:00:00";"2023-11-05 10:16:36";1.0;881;"Hide/Unhide merged cells in excel";35
167;"2019-09-17 00:00:00";"2023-11-05 10:16:36";0.0;98;"Missing ""Progress Report"""" option under Test Plans""";47
168;"2019-09-17 00:00:00";"2023-11-05 10:16:37";11.0;27940;"Passing parameters to Laravel job is not working";10
169;"2019-09-17 00:00:00";"2023-11-05 10:16:37";1.0;31;"How to dump an object that is a child of a class (knowing that class casting is impossible in Python)?";44
170;"2019-09-17 00:00:00";"2023-11-05 10:16:37";1.0;70;"Multiple plots in repeated question yields ""Error in exm[[dups[j]]] : subscript out of bounds""""""";28
171;"2019-09-17 00:00:00";"2023-11-05 10:16:37";2.0;13544;"Trim String/Text in Flutter";71
172;"2019-09-17 00:00:00";"2023-11-05 10:16:37";1.0;160;"Where does this space comes from? CSS";47
173;"2009-02-17 00:00:00";"2023-11-05 10:16:37";4.0;91008;"Updating database records in a loop?";1
174;"2009-02-17 00:00:00";"2023-11-05 10:16:38";0.0;4749;"PHP Time after midnight problem";62
175;"2009-02-17 00:00:00";"2023-11-05 10:16:38";4.0;280;"How to achieve the below with Git?";17
176;"2009-02-17 00:00:00";"2023-11-05 10:16:38";1.0;798;"How do I authenticate for Twitter friends_timeline?";30
177;"2009-02-17 00:00:00";"2023-11-05 10:16:38";0.0;267;"SharePoint 2007: Single Sign-on Anomaly";52
178;"2009-02-17 00:00:00";"2023-11-05 10:16:38";7.0;1148;"ServiceContainer, IoC, and disposable objects";20
179;"2009-02-17 00:00:00";"2023-11-05 10:16:39";0.0;1148;"Looking for Object-Oriented Programming journal";2
180;"2009-02-17 00:00:00";"2023-11-05 10:16:39";23.0;5377;"Can I pretty-print the DBIC_TRACE output in DBIx::Class?";26
181;"2009-02-17 00:00:00";"2023-11-05 10:16:39";6.0;3665;"Silverlight Grid Splitter Unexpected Behaviour";24
182;"2009-02-17 00:00:00";"2023-11-05 10:16:39";2.0;5976;"Equation of a helix parametrized by arc length between two points in space";24
183;"2009-02-17 00:00:00";"2023-11-05 10:16:39";0.0;1497;"I have RTRIM; how to make LTRIM with regexp";42
184;"2009-02-17 00:00:00";"2023-11-05 10:16:40";2.0;4432;"How can I send local Email by using exchange with asp.net?";69
185;"2009-02-17 00:00:00";"2023-11-05 10:16:40";0.0;1719;"Encode dataview value in ASP.NET MVC Actionlink";53
186;"2009-02-17 00:00:00";"2023-11-05 10:16:40";0.0;296;"Deadlocking lock() method";61
187;"2009-02-17 00:00:00";"2023-11-05 10:16:40";3.0;399;"Making the leap from Java to C++";25
188;"2009-02-17 00:00:00";"2023-11-05 10:16:40";-6.0;457;"how to load website (google, yahoo, any site) to canvas";35
190;"2023-10-19 00:00:00";"2023-11-05 10:16:40";1650.0;988;"test PATCH once again and again!";43
191;"2023-10-19 00:00:00";"2023-11-05 10:16:41";1650.0;988;"Test unique secret number.";70
192;"2023-10-23 00:00:00";"2023-11-05 10:16:41";9.0;234;"Tets POST after version 7 changes.";28
193;"2023-10-23 00:00:00";"2023-11-05 10:16:41";6.0;457;"Tets score limits.";64
194;"2023-10-24 00:00:00";"2023-11-05 10:16:41";6.0;16;"Test repeated secret number";49
195;"2023-10-24 00:00:00";"2023-11-05 10:16:41";5.6;16116;"Check Post after adding resource count to DB_Session 2";12
196;"2023-10-31 00:00:00";"2023-11-05 10:16:42";1.6;651;"Testing PUT request after token authorization implementation 2.";42
198;"2023-10-31 00:00:00";"2023-11-05 10:16:42";5.6;16116;"I'm tired of this shit - checking add resource 4";52
199;"2023-10-31 00:00:00";"";5.6;16116;"I'm tired of this shit - checking add resource 4";3
200;"2023-10-31 00:00:00";"";5.6;16116;"I'm tired of this shit - checking add resource 5";9
206;"2023-11-06 11:48:26";"";9.0;10;"User ID automatic insert.";3
207;"2023-11-06 11:49:51";"";9.0;10;"User ID automatic insert.";3
209;"2023-11-17 20:39:43";"";1.0;1;"unit test post post via postman";28
210;"2023-11-17 20:47:21";"";1.0;1;"unit test post post";28
212;"2023-11-18 10:51:50";"2023-11-18 11:33:41";2.0;1000;"unit test put post with postman";28
215;"2023-11-18 11:29:23";"";1.0;1;"unit test post post";28
216;"2023-11-18 11:32:45";"";1.0;1;"unit test post post";28
217;"2023-11-18 11:35:35";"";1.0;1;"unit test post post";28
218;"2023-11-18 11:36:36";"";1.0;1;"unit test post post";28
219;"2023-11-18 11:37:38";"";1.0;1;"unit test post post";28
